#Date,Open,High,Low,Close,Volume,Adj Close
2013/7/16,2054.6,2066.36,2038.54,2065.72,96737399,82870902784
2013/7/17,2061.19,2075.81,2043.23,2044.92,103251321,87993974784
2013/7/18,2038.4,2043.37,2016.9,2023.4,92132049,76618530816
2013/7/19,2025.32,2035.22,1990.25,1992.65,104577571,87481516032
2013/7/22,1977.73,2005.47,1970.64,2004.76,82922190,69649506304
2013/7/23,2008.95,2051.53,2005.09,2043.88,109517360,92711264256
2013/7/24,2035.69,2042.77,2010.42,2033.33,106655779,93700579328
2013/7/25,2037.34,2045.37,2016.43,2021.17,98545366,86249512960
2013/7/26,2013.19,2021.57,2000.8,2010.85,73800429,65538621440
2013/7/29,1997.84,1997.84,1969.85,1976.31,78683274,65866981376
2013/7/30,1981.45,2006.23,1965.36,1990.06,77219784,66157867008
2013/7/31,2000.79,2015.47,1987.88,1993.8,70160603,59394334720
2013/8/1,2000.82,2029.93,1997.06,2029.07,91256686,77395279872
2013/8/2,2039.51,2047.08,2025.65,2029.42,93592767,78906253312
2013/8/5,2031.72,2050.91,2025.23,2050.48,85517968,73277095936
2013/8/6,2043.65,2066.74,2034.96,2060.5,105580975,88690556928
2013/8/7,2056.37,2069.56,2043.75,2046.78,107712594,91260305408
2013/8/8,2044.44,2058.56,2037.25,2044.9,84133290,71954923520
2013/8/9,2052.24,2061.71,2030.13,2052.24,95316423,83036020736
2013/8/12,2058.42,2102.35,2055.72,2101.28,135128974,1.1649E+11
2013/8/13,2101.32,2106.4,2093.8,2106.16,117708875,96430366720
2013/8/14,2109.23,2122.97,2093.04,2100.14,114437802,95791169536
2013/8/15,2099.28,2108.41,2079.97,2081.88,99396656,84735664128
2013/8/16,2075.98,2198.85,2061.65,2068.45,153063326,1.23125E+11
2013/8/19,2055.13,2091.13,2052.7,2085.6,97446783,81501388800
2013/8/20,2081.97,2098.98,2066.07,2072.6,107381773,89117933568
2013/8/21,2076.27,2076.32,2056.91,2072.96,87445991,72860721152
2013/8/22,2069.31,2083.33,2062.37,2067.12,90928307,76018376704
2013/8/23,2075.93,2079.85,2029.37,2057.46,112426351,94571634688
2013/8/26,2061.42,2097.34,2056.13,2096.47,119932652,99157901312
2013/8/27,2095.44,2105.38,2090.43,2103.57,126341966,1.04592E+11
2013/8/28,2092.31,2113.82,2080.86,2101.3,161392026,1.32239E+11
2013/8/29,2108.44,2110.89,2088.24,2097.23,133268219,1.05259E+11
2013/8/30,2097.22,2114.39,2089.1,2098.38,170075649,1.32056E+11
2013/9/2,2104.09,2108.68,2078.46,2098.45,149158524,1.21085E+11
2013/9/3,2100.45,2123.85,2095.46,2123.11,138893175,1.12421E+11
2013/9/4,2121.68,2133,2115.75,2127.62,142000386,1.16457E+11
2013/9/5,2125.25,2127.86,2115.24,2122.43,126544104,1.05776E+11
2013/9/6,2119.33,2143.24,2119.02,2139.99,143260660,1.19152E+11
2013/9/9,2151.35,2218.53,2151.35,2212.52,219427086,1.78882E+11
2013/9/10,2214.81,2238.55,2202.82,2237.98,237206649,1.91084E+11
2013/9/11,2244.96,2258.07,2233,2241.27,244349455,1.95428E+11
2013/9/12,2236.17,2270.27,2226.29,2255.61,209715110,1.67301E+11
2013/9/13,2251.46,2259.42,2228.48,2236.22,171984229,1.406E+11
2013/9/16,2244.46,2248.47,2226.17,2231.4,154884020,1.33581E+11
2013/9/17,2230.39,2230.93,2184.92,2185.56,154542555,1.3246E+11
2013/9/18,2185.94,2195.9,2172.04,2191.85,115111887,1.01333E+11
2013/9/23,2199.36,2223.07,2198.34,2221.04,133174858,1.21468E+11
2013/9/24,2219.47,2219.54,2187.24,2207.53,160415055,1.43331E+11
2013/9/25,2206.23,2217.97,2193.72,2198.51,160212762,1.4378E+11
2013/9/26,2192.23,2192.23,2154.72,2155.81,140415346,1.2568E+11
2013/9/27,2150.96,2165.78,2149.59,2160.03,105401788,97811677184
2013/9/30,2167.73,2176.3,2165.16,2174.67,92810081,88982757376
2013/10/8,2171.9,2200.02,2161.49,2198.2,126710203,1.14992E+11
2013/10/9,2191.39,2212.35,2185.18,2211.77,130871737,1.17966E+11
2013/10/10,2214.41,2214.59,2186.48,2190.93,149775896,1.36575E+11
2013/10/11,2201.41,2228.87,2200.53,2228.15,156892176,1.42272E+11
2013/10/14,2232.22,2242.98,2226.4,2237.77,165983386,1.51627E+11
2013/10/15,2237.93,2240.25,2221.14,2233.41,153722825,1.38542E+11
2013/10/16,2228.11,2228.11,2183.4,2193.07,154638637,1.38166E+11
2013/10/17,2201.71,2211.03,2183.25,2188.54,126767944,1.13139E+11
2013/10/18,2188.71,2203.29,2184.36,2193.78,103724631,90814177280
2013/10/21,2198.11,2230.28,2190.39,2229.24,136694408,1.23936E+11
2013/10/22,2227.34,2227.34,2204.24,2210.65,149132831,1.34995E+11
2013/10/23,2213.27,2226.85,2177.73,2183.11,146347090,1.2579E+11
2013/10/24,2178.82,2183.41,2159.87,2164.32,103008953,90001866752
2013/10/25,2163.69,2170.61,2122.68,2132.96,113924520,99671695360
2013/10/28,2135.88,2140.96,2123.07,2133.87,88401322,77889331200
